Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,J7,J7_L
CH07_3,LC,5.44,5.60,7.35,6.41,10.19,8.23,11.53,9.73,14.98,12.25,----,----,----,----
CH07_6,LC,5.33,5.53,7.16,6.55,9.38,7.06,11.90,9.67,15.04,12.35,17.41,----,19.49,15.46
CH07_8,LC,5.00,5.30,5.62,5.44,6.89,6.28,8.61,7.63,10.72,9.44,13.35,----,----,----
CH07_9,LC,4.43,4.90,----,----,----,----,----,----,----,----,----,----,----,----
CH07_11,LC,----,----,6.60,6.03,8.31,7.43,10.64,9.27,13.19,10.62,15.84,13.26,----,----
CH07_17,LC,----,----,6.57,6.00,7.97,6.85,9.78,8.62,11.46,9.00,----,----,----,----
CH07_21,LC,----,----,6.89,6.14,GONE,----,----,----,----,----,----,----,----,----
CH07_22,LC,----,----,6.33,5.90,7.94,7.17,10.03,8.89,----,----,----,----,----,----
CH07_25,LC,4.89,5.25,6.44,6.04,8.68,7.80,10.48,8.89,12.56,10.65,----,----,----,----
CH03_P5,LC,4.59,4.83,----,----,----,----,----,----,----,----,----,----,----,----
CH07_P6,LC,4.74,5.21,6.52,6.03,8.40,7.44,10.21,8.80,12.81,10.90,----,----,----,----
,,,,,,,,,,,,,,,
CH05_2,HC,4.64,4.92,6.12,5.88,7.94,7.36,8.74,7.89,11.26,9.76,17.07,14.45,,
CH05_5,HC,5.09,5.50,6.59,6.32,8.95,8.07,10.14,8.26,12.56,10.72,14.58,12.21,,
CH05_7,HC,4.80,5.20,6.63,6.35,8.02,7.32,9.36,8.32,11.61,9.94,14.31,12.23,,
CH05_9,HC,----,,6.63,6.40,8.83,7.93,10.01,8.76,12.70,10.75,15.06,12.50,,
CH05_13,HC,5.11,5.07,6.16,6.41,9.35,8.18,10.07,8.79,12.61,10.59,,,,
CH05_24,HC,5.12,4.93,6.56,6.26,8.87,7.91,9.89,8.41,12.47,10.59,14.00,11.86,,
CH05_26,HC,4.85,5.18,6.51,6.21,8.40,7.13,10.65,9.19,12.45,10.40,14.88,,,
CH05_29,HC,4.79,5.15,6.07,5.47,6.98,6.46,9.22,7.95,10.00,8.69,12.13,10.24,13.93,11.58
CH05_35,HC,4.93,4.99,6.34,5.82,7.77,--,9.15,8.09,----,----,----,----,----,----
CH05_38,HC,5.09,5.60,----,----,----,----,----,----,----,----,----,----,----,----
CH05_41,HC,----,,7.00,6.03,9.14,8.08,10.54,9.09,13.00,10.86,,,,
CH09_1,HC,5.10,5.54,6.92,6.42,8.75,7.40,10.50,9.07,----,----,----,----,----,----
CH09_2,HC,----,,7.54,6.83,9.34,8.14,11.29,9.50,13.84,11.39,14.78,12.10,,
CH09_6,HC,4.93,5.26,----,----,----,----,----,----,----,----,----,----,----,----
