Crab,Group,J1,J1_L,J2,J2_L,J3,J3_L,J4,J4_L,J5,J5_L,J6,J6_L,
CH05_29,HC,4.88,5.29,6.14,5.87,7.23,6.57,8.43,7.32,10.05,8.66,12.4,10.46,
CH05_35,HC,5.08,5.04,6.59,6.27,7.78,6.61,GONE,,,,,,
CH05_38,HC,DEAD,,----,,----,,----,,,,,,
CH05_41,HC,5.23,5.15,6.76,6.18,9.01,7.93,10.63,9.11,,,,,
CH09_1,HC,5.37,5.66,7.07,6.79,8.57,7.54,10.37,9.24,,,,,
CH09_2,HC,Crushed,,7.58,6.96,Dropped,,11.52,9.87,13.55,11.34,,,
CH09_6,HC,DEAD,,----,,----,,----,,,,,,
CH09_9,HC,4.68,4.92,5.55,5.33,6.38,6.05,9.36,7.91,,,,,
CH09_17,HC,4.57,4.76,DEAD,,----,,----,,,,,,
CH09_20,HC,5.1,5.4,6.15,5.94,7.54,6.72,9.14,8.22,11.2,9.82,13.98,11.57,
CH09_21,HC,DEAD,,----,,----,,----,,,,,,
CH09_29,HC,5.01,5.34,6.3,5.94,8.15,7.33,9.56,8.28,12.82,10.99,13.93,11.27,
CH09_31,HC,5.28,5.62,Dropped,,10.13,8.89,10.06,,12.23,10.16,,,
CH09_34,HC,4.88,5.26,Dead,,----,,----,,,,,,
CH09_35,HC,4.76,4.97,6.37,6.19,7.21,6.48,9.47,8.62,,,,,
CH09_40,HC,5.19,5.41,7.08,6.5,8.39,7.62,10.56,----,12.81,10.7,,,
CH09_42,HC,4.89,4.99,6.22,5.92,7.94,7.31,9.57,8.41,11.75,10.02,14.39,12.08,
CH10_12,HC,DEAD,,----,,----,,----,,,,,,
CH10_15,HC,5.72,5.83,DEAD,,----,,----,,,,,,
CH10_18,HC,5.14,5.39,6.7,6.32,7.95,7.25,10.01,----,,,,,
CH10_21,HC,5.36,5.57,6.97,6.71,8.32,7.59,10.24,8.79,12.52,10.47,,,
CH10_26,HC,5.23,5.52,6.15,5.87,DEAD,,,,,,,,
CH10_28,HC,5,5.29,6.39,----,8.33,7.31,10.46,9.04,12.54,10.57,,,
CH10_34,HC,5.13,5.56,6.33,5.91,7.56,6.74,9.21,8.1,11.46,9.83,14.64,11.87,
CH10_35,HC,4.99,5.29,6.51,6.15,DEAD,,----,,,,,,
CH10_37,HC,5.02,5.04,6.18,5.72,7.5,6.69,9.37,8.19,,,,,
CH10_40,HC,5.25,5.45,6.64,5.96,8.27,7.39,9.62,8.4,11.71,9.79,,,
